Log_PyClone_Clusters	ESTIMATE_ImmuneScore
2.584962501	5033.263705
3.169925001	5038.715437
3.169925001	5068.897053
5.554588852	5078.371485
3.321928095	5087.085018
4.523561956	5092.005053
5.169925001	5094.109522
1.584962501	5108.707321
5.554588852	5109.441339
4	5118.326044
3	5126.462404
3.584962501	5128.896424
4	5151.304032
4.459431619	5151.529703
3.169925001	5160.546394
2	5169.254899
5.64385619	5184.189909
4.169925001	5210.600413
5.321928095	5214.636628
3.321928095	5215.88801
6.247927513	5217.689386
3.169925001	5226.1619
3.700439718	5253.697845
1.584962501	5255.082439
5.700439718	5260.770063
5	5266.632466
5.209453366	5275.497847
3.584962501	5291.575682
4	5309.230296
3.584962501	5309.902065
2.584962501	5331.117565
2	5336.847962
5.169925001	5339.850831
6.06608919	5349.976491
2	5368.274008
3.584962501	5368.924516
4.906890596	5372.957754
4.523561956	5443.511439
3	5443.822974
6.266786541	5444.583372
3.321928095	5448.329512
2.807354922	5456.835025
3.321928095	5464.124235
4.754887502	5470.49161
3.906890596	5471.864809
2	5487.714913
3.807354922	5499.82808
2.807354922	5512.519384
3.169925001	5517.258533
2.807354922	5531.249959
3.169925001	5535.744003
4.906890596	5558.700257
3.321928095	5587.991598
1	5590.09666
2.584962501	5661.759531
2.584962501	5720.328927
2.807354922	5725.372417
4.392317423	5726.458879
2.807354922	5726.694589
2.321928095	5726.743816
4.169925001	5728.449881
5.857980995	5763.278656
2.807354922	5774.265695
1.584962501	5777.506687
2	5795.085044
4.169925001	5820.882077
1.584962501	5821.310207
2.321928095	5821.310207
2	5864.938484
2.584962501	5864.938484
1.584962501	5867.637313
2.584962501	5878.414787
2.584962501	5898.530326
3.459431619	5900.104086
2.321928095	5902.59198
2	5902.82006
1.584962501	5916.114489
3.321928095	5937.17435
2.584962501	5941.124924
5.209453366	5984.973392
3.169925001	5994.359456
2.807354922	6006.660757
3.807354922	6030.215459
0	6033.117576
2.321928095	6056.006993
1.584962501	6071.330541
2.321928095	6074.750062
2.321928095	6077.461193
5.044394119	6110.65879
1.584962501	6152.533497
4.392317423	6155.90907
5.392317423	6167.995546
2.321928095	6177.832848
3.169925001	6201.40314
1.584962501	6204.516343
2	6244.242898
2.321928095	6263.505985
3.169925001	6266.155095
3	6277.436938
2	6278.473376
5.087462841	6336.155447
2.584962501	6407.337705
2	6419.527963
2	6434.787614
3.584962501	6437.276571
2	6441.70115
2.584962501	6470.400307
3.321928095	6472.340238
3.169925001	6502.034464
4.087462841	6530.401729
3.584962501	6543.865067
3	6576.598412
2.321928095	6668.105832
1.584962501	6690.675826
2	6694.363118
1	6732.91848
1.584962501	6742.94259
1.584962501	6752.374819
4.321928095	6925.956399
2	6939.436586
2	6948.24381
0	6964.093197
2.321928095	7000.415411
4.392317423	7044.249896
1.584962501	7078.331803
3.321928095	7296.144131
