SD_ID	WES_tumor	WES_normal	RNASeq
SD0881	.	.	.
SD0883	.	.	.
SD0884	.	.	.
SD0886	.	.	.
SD0888	.	.	.
SD0889	.	.	.
SD0891	.	.	.
SD0892	.	.	.
SD0893	.	.	.
SD0895	.	.	.
SD0896	.	.	.
SD0898	.	.	.
SD0899	.	.	.
SD0901	.	.	.
SD0902	.	.	.
SD0904	.	.	.
SD0905	.	.	.
SD0906	.	X	.
SD0907	.	.	.
SD0910	.	.	.
SD0914	.	.	.
SD0916	.	.	.
SD0917	.	.	.
SD0922	.	.	X
SD0927	.	.	.
SD0933	.	.	.
SD0937	.	.	.
SD0942	.	.	.
SD0943	.	.	.
SD0946	.	.	.
SD0949_Lt	.	.	.
SD0949_Rt	.	.	.
SD0951	.	.	.
SD0952	.	.	.
SD0954	.	.	.
SD0961	.	.	.
SD0962	.	.	.
SD0966	.	.	.
SD0970	.	.	.
SD0971	.	.	.
SD0972	.	.	.
SD0973	.	.	.
SD0983	.	.	.
SD0984	.	.	X
SD0986	.	.	.
SD0988	.	.	X
SD0989	.	.	.
SD0994	.	.	.
SD0995	.	.	.
SD0997	.	.	.
SD0998	.	.	.
SD1005	.	.	.
SD1008	.	.	.
SD1009	.	.	.
SD1010	.	.	.
SD1011	.	.	.
SD1012	.	.	.
SD1013	.	.	.
SD1019	.	.	.
SD1023	.	.	.
SD1025	.	.	.
SD1029	.	.	.
SD1031	.	.	.
SD1032	.	.	.
SD1034	.	.	.
SD1036	.	.	.
SD1038	.	.	.
SD1043	.	.	.
SD1046	X	.	.
SD1049	.	.	.
SD1051	.	.	.
SD1054	.	.	.
SD1057	.	.	.
SD1060	.	.	.
SD1062	.	.	.
SD1064	.	.	.
SD1066	.	.	.
SD1070	.	.	.
SD1077	.	.	.
SD1078	.	.	.
SD1084	.	.	.
SD1095	.	.	.
SD1100	.	.	.
SD1103	.	.	.
SD1110	.	.	.
SD1111	.	.	.
SD1116	.	.	.
SD1117	.	.	.
SD1120	.	.	.
SD1121	.	.	.
SD1123	.	.	.
SD1125	.	.	.
SD1127	.	.	.
SD1128_Lt	.	.	.
SD1128_Rt	.	.	.
SD1132	.	.	.
SD1153	.	.	.
SD1155	.	.	.
SD1160	.	.	.
SD1163	.	.	.
SD1164	.	.	.
SD1166	.	.	.
SD1169	.	.	.
SD1174	.	.	.
SD1177	.	.	.
SD1180	.	.	.
SD1182	.	.	.
SD1183	.	.	.
SD1184	.	.	.
SD1186	.	.	.
SD1190	.	.	.
SD1193	.	.	.
SD1195	.	.	.
SD1197	.	.	.
SD1198	.	.	.
SD1199	.	.	.
SD1200	.	.	.
SD1201	.	.	.
SD1203	.	.	.
SD1204	.	.	.
SD1206	.	.	.
SD1207	.	.	.
SD1213	.	.	.
SD1214	.	.	.
SD1223	.	.	.
SD1224	.	.	.
SD1225	.	.	.
SD1226	.	.	.
SD1229	.	.	.
SD1231	.	.	.
SD1232	.	.	.
SD1233	.	.	.
SD1237	.	.	.
SD1238	.	.	.
SD1240	.	.	.
SD1242	.	X	.
SD1245	.	.	.
SD1247	.	.	.
SD1248	.	.	.
SD1249	.	.	.
SD1250	.	.	.
SD1254	.	.	.
SD1255	.	.	.
SD1257	.	.	.
SD1259	.	.	.
SD1261	.	.	.
SD1263	.	.	.
SD1264	.	.	X
SD1265	.	.	X
SD1266	.	.	.
SD1268	.	X	.
SD1269	.	.	.
SD1271	.	.	.
SD1281	.	.	.
SD1284	.	.	.
SD1287	.	.	.
SD1294	.	.	.
SD1302	.	.	.
SD1306	.	.	.
SD1313	.	.	.
SD1318	.	.	.
SD1321	.	.	.
SD1322	.	.	.
SD1331	.	.	.
SD1332	.	.	.
SD1334	.	.	X
SD1343	.	.	X
SD1344	.	.	.
SD1345	.	.	.
SD1349	.	.	X
SD1350	.	.	X
SD1352	.	.	.
SD1359	.	.	.
SD1365	.	.	.
SD1371	.	.	X
SD1373	.	.	.
SD1378	.	.	.
SD1379	.	.	.
SD1380	.	.	X
SD1381	.	.	.
SD1382	.	.	.
SD1385	.	.	X
SD1386	.	.	.
SD1387	.	.	.
SD1388	.	.	X
SD1389	.	.	.
SD1391	.	.	.
SD1392	.	.	.
SD1396	.	.	.
SD1398	.	.	.
SD1400	.	.	.
SD1402	.	.	.
SD1403	.	.	.
SD1404	.	.	.
SD1406	.	.	.
SD1408	.	.	.
SD1409	.	.	.
SD1414	.	.	.
SD1415	.	.	.
SD1418	.	.	.
SD1422	.	.	.
SD1425	.	.	.
SD1427	.	.	.
SD1429	.	.	.
SD1431	.	.	.
SD1436	.	.	.
SD1440	.	.	.
SD1442	.	.	.
SD1444	.	.	.
SD1445	.	.	.
SD1446	.	X	.
SD1447	.	.	.
SD1448	.	.	.
SD1452	.	.	.
SD1456	.	.	.
SD1457	.	.	.
SD1458	.	.	.
SD1459	.	.	.
SD1462	.	.	.
SD1464	.	.	.
SD1465	.	.	.
SD1466	.	.	.
SD1468	.	.	.
SD1469	.	.	.
SD1474	.	.	.
SD1476	.	.	.
SD1479	.	.	.
SD1482	.	.	.
SD1485	.	.	.
SD1486	.	.	.
SD1489	.	.	.
SD1491	.	.	.
SD1496	.	.	.
SD1497	.	.	.
SD1498	.	.	.
SD1503	.	.	.
SD1507	.	.	.
SD1508	.	.	.
SD1517	.	.	.
SD1518	.	.	.
SD1519	.	.	.
SD1521	.	.	.
SD1522	.	.	.
SD1530	.	.	X
SD1532	.	.	.
SD1537	.	.	.
SD1538	.	.	.
SD1539	.	.	.
SD1542	.	.	.
SD1544	.	.	.
SD1545	.	.	.
SD1556	.	.	.
SD1559	.	.	.
SD1561	.	.	.
SD1566	.	.	.
SD1569	.	.	.
SD1570	.	.	.
SD1571	.	.	.
SD1572	.	.	.
SD1573	.	.	.
SD1575	.	.	.
SD1576	.	.	.
SD1577	.	.	.
SD1578	.	.	.
SD1582	X	.	.
SD1583	.	.	.
SD1586	.	.	.
SD1588	.	.	.
SD1589	.	.	.
SD1590	.	.	.
SD1591	.	.	.
SD1595	.	.	.
SD1598	.	.	.
