	Signature.1	Signature.2	Signature.13	Signature.3	Signature.8	Signature.5	Signature.18	Signature.17	Signature.6	Signature.15	Signature.20	Signature.26	Signature.30
TCGA-A2-A25A 0.2112888 0.1185034 0 0 0.2516472 0 0.3005377 0 0 0 0.08522003 0 0
TCGA-A2-A25C 0.316631 0 0 0 0 0 0.1951899 0 0 0 0 0.4161295 0
TCGA-A2-A25D 0.5875043 0.06249635 0 0.1509139 0 0 0 0 0 0 0.113141 0 0
TCGA-A2-A3KD 0.8089447 0.09939459 0 0 0 0 0 0 0 0 0 0.09166071 0
TCGA-A2-A4RW 0.1971233 0.08112271 0.2499708 0.2812703 0 0 0 0 0 0 0.06428979 0 0
TCGA-A2-A4RY 0.6922588 0 0 0 0 0 0 0 0 0 0.120787 0 0.1323212
TCGA-A2-A4S0 0.2332862 0 0 0 0 0 0 0 0 0 0.1938472 0.5461352 0
TCGA-A2-A4S1 0.3345768 0 0 0.241535 0 0 0.1495449 0 0.1615762 0 0 0 0
TCGA-A2-A4S2 0.5364942 0 0 0 0 0 0.0802825 0 0 0.19693 0 0 0.1634988
TCGA-A7-A0CD 0.9983309 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-A7-A0CE 0.5491038 0 0 0.4508962 0 0 0 0 0 0 0 0 0
TCGA-A7-A0CG 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-A7-A0CH 0.6307505 0 0 0.1387689 0 0 0 0 0 0 0 0.1200751 0.1104055
TCGA-A7-A0CJ 0.9285936 0 0 0.07140641 0 0 0 0 0 0 0 0 0
TCGA-A7-A0D9 0.6627552 0 0 0 0 0 0.09279299 0 0 0 0 0 0.2444518
TCGA-A7-A0DA 0.362328 0 0 0.6034174 0 0 0 0 0 0 0 0 0
TCGA-A7-A13F 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-A7-A13G 0.5635545 0.1522522 0 0.2841933 0 0 0 0 0 0 0 0 0
TCGA-A7-A13H 0.5012859 0 0 0 0 0.3973493 0 0 0 0 0 0.1013647 0
TCGA-A7-A26F 0.8459087 0 0 0 0 0 0.1325272 0 0 0 0 0 0
TCGA-A7-A26H 0.6577512 0.1913439 0.1509049 0 0 0 0 0 0 0 0 0 0
TCGA-A7-A26I 0.4946931 0.1465931 0 0.2881085 0 0 0 0 0 0 0 0 0
TCGA-A7-A3IY 0.8040426 0 0 0.1959574 0 0 0 0 0 0 0 0 0
TCGA-A7-A3IZ 0.5213116 0.1474797 0.07575849 0.2044971 0 0 0 0 0 0 0 0 0
TCGA-A7-A3J0 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-A7-A3J1 0.7250937 0 0 0 0.2561231 0 0 0 0 0 0 0 0
TCGA-A7-A3RF 0.3422507 0 0 0 0.2608 0 0.1107105 0 0 0 0.2862388 0 0
TCGA-A7-A425 0.4767681 0 0 0 0.2934631 0.1185878 0.09370343 0 0 0 0 0 0
TCGA-A7-A426 0.6595939 0 0 0 0 0 0.1514039 0 0 0 0.1396178 0 0
TCGA-A7-A4SA 0.3873396 0 0.1719154 0.331766 0 0 0 0 0 0 0 0 0
TCGA-A7-A4SB 0.4848364 0.1804767 0 0.3146335 0 0 0 0 0 0 0 0 0
TCGA-A7-A4SC 0.8630947 0 0 0 0 0 0.08075121 0 0 0 0 0 0
TCGA-A7-A5ZX 0.6649993 0.08235569 0 0 0 0 0 0.09648206 0 0.1561629 0 0 0
TCGA-AC-A23C 0.3821322 0.1589308 0.1040783 0.1789563 0 0 0 0 0 0.07308668 0 0.06491168 0
TCGA-AC-A23E 0.8666477 0 0 0 0 0 0 0 0 0 0.1089402 0 0
TCGA-AC-A23G 0.9208634 0 0 0 0 0 0.07913661 0 0 0 0 0 0
TCGA-AC-A23H 0.1926443 0.3669916 0.4186047 0 0 0 0 0 0 0 0 0 0
TCGA-AC-A2B8 0.3318013 0.3452047 0.2842332 0 0 0 0 0 0 0 0 0 0
TCGA-AC-A2FB 0.1262577 0 0 0.1437048 0.2691622 0.1197981 0.1179372 0 0 0 0 0 0.2231401
TCGA-AC-A2FE 0.1711471 0.1267954 0 0 0 0 0 0 0.2487567 0.2299655 0 0.1696398 0
TCGA-AC-A2FG 0.8070075 0.08372775 0 0.1092648 0 0 0 0 0 0 0 0 0
TCGA-AC-A2FM 0.6143485 0 0 0.2623504 0 0 0 0 0 0 0 0.0734649 0
TCGA-AC-A2FO 0.7352517 0.2647483 0 0 0 0 0 0 0 0 0 0 0
TCGA-AC-A2QH 0.9098116 0 0 0 0 0 0 0 0 0.09018841 0 0 0
TCGA-AC-A2QI 0.6878326 0.2998338 0 0 0 0 0 0 0 0 0 0 0
TCGA-AC-A2QJ 0.6641846 0 0 0 0 0 0.08238467 0 0 0 0 0.2302103 0
TCGA-AC-A3EH 0.9572705 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AC-A3HN 0.7949833 0 0 0 0 0 0 0 0 0 0 0.1116725 0
TCGA-AC-A3OD 0.2759597 0 0 0 0.3103362 0 0.2488179 0 0 0.1438393 0 0 0
TCGA-AC-A3QP 0.3438199 0 0 0 0 0.2300582 0.1448931 0 0 0 0 0.1814097 0
TCGA-AC-A3TM 0.8598736 0 0 0 0 0 0 0 0 0 0 0.09597578 0
TCGA-AC-A3TN 0.7795083 0 0 0 0 0 0 0 0 0 0 0.1669147 0
TCGA-AC-A3W6 0.5298825 0.1863113 0.1867953 0 0 0 0 0 0 0 0 0.06938443 0
TCGA-AC-A3W7 0.5592071 0.2503978 0 0 0 0 0 0 0 0 0 0.137755 0
TCGA-AC-A3YI 0.3687859 0 0 0.3017891 0 0 0 0 0 0 0 0.2905481 0
TCGA-AC-A3YJ 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AC-A5EI 0.5285663 0.1214214 0 0 0 0.2349769 0 0 0.1150355 0 0 0 0
TCGA-AC-A5XS 0.341106 0.3270717 0.2504772 0 0 0 0 0 0 0 0 0 0
TCGA-AC-A62Y 0.8510434 0.0980462 0 0 0 0 0 0 0 0 0 0 0
TCGA-AN-A03X 0.4715537 0 0 0 0 0.2430925 0.06955755 0 0 0 0.2157963 0 0
TCGA-AN-A03Y 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AN-A041 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AN-A046 0.8323988 0 0 0 0 0 0.1676012 0 0 0 0 0 0
TCGA-AN-A049 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AN-A04A 1 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AN-A04C 0.958078 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AN-A04D 0.3514464 0 0 0.5923808 0 0 0 0 0 0 0 0 0
TCGA-AN-A0AJ 0.8279929 0 0.0744515 0 0 0 0 0 0 0.07899768 0 0 0
TCGA-AN-A0AK 0.4673332 0 0 0 0 0 0 0 0.4134475 0.1192193 0 0 0
TCGA-AN-A0AL 0.4044064 0 0.07070249 0.1995483 0 0.2010072 0.0994393 0 0 0 0 0 0
TCGA-AN-A0AM 0.5368875 0 0.088658 0.2057333 0 0 0 0 0 0 0 0 0
TCGA-AN-A0AR 0.2795158 0 0.06180866 0.6260023 0 0 0 0 0 0 0 0 0
TCGA-AN-A0AS 0.9841806 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AN-A0AT 0.3321283 0 0 0.4518477 0 0 0 0 0 0.120832 0 0 0
TCGA-AN-A0FD 0.3931494 0 0 0.4677608 0 0 0 0 0.1390898 0 0 0 0
TCGA-AN-A0FF 0.5234576 0 0 0 0 0 0 0 0.176025 0 0 0.3005174 0
TCGA-AN-A0FJ 0.7014316 0.1098619 0.1129873 0 0.07571921 0 0 0 0 0 0 0 0
TCGA-AN-A0FK 0.83599 0 0 0 0 0 0 0 0 0.16401 0 0 0
TCGA-AN-A0FL 0.4421367 0 0.1026751 0.2828215 0 0 0.06800947 0 0 0 0 0 0
TCGA-AN-A0FS 0.9851382 0 0 0 0 0 0 0 0 0 0 0 0
TCGA-AN-A0FT 0.8595894 0.07396 0.06645057 0 0 0 0 0 0 0 0 0 0
TCGA-AN-A0FV 0.5526333 0.130975 0.1425357 0 0 0.1455691 0 0 0 0 0 0 0
