	Signature.1	Signature.2	Signature.13	Signature.3	Signature.8	Signature.5	Signature.18	Signature.17	Signature.6	Signature.15	Signature.20	Signature.26	Signature.30
PD24221a 0.4075751 0 0 0.3828748 0 0 0 0 0 0 0 0.2095501 0
PD22362a 0.5997563 0 0 0 0 0 0 0 0 0 0 0 0.3678454
PD22251a 0.8961631 0 0 0 0 0 0 0 0 0 0 0 0
PD23570a 0.6354478 0.1791144 0 0 0 0 0 0 0 0.129463 0 0 0
PD24219a 0.9016626 0 0 0.09833743 0 0 0 0 0 0 0 0 0
PD24302a 0.3616146 0 0 0 0.1391162 0 0 0 0 0.40624 0 0.06545505 0
PD22365a 0.1639813 0 0 0 0.3363079 0.3034494 0.06103333 0 0 0 0 0 0
PD24225a 0.4970807 0.1311764 0.07275951 0 0 0 0.09263742 0.115704 0 0 0 0 0
PD22359a 0.8847472 0.1152528 0 0 0 0 0 0 0 0 0 0 0
PD24307a 1 0 0 0 0 0 0 0 0 0 0 0 0
PD23569a 0.5093226 0 0 0.3708272 0.1198502 0 0 0 0 0 0 0 0
PD24200a 0.7056412 0 0 0.2943588 0 0 0 0 0 0 0 0 0
PD22036a 0.7193955 0 0 0.1194379 0 0 0 0 0 0 0 0 0.07166683
