	all_subtype	LumA	LumB	Her2	Basal	Normal	claudin-low	NC	
all_samples	1980	700	475	224	209	148	218	6
TP53	681	83	118	157	184	32	106	0
PIK3CA	920	458	182	101	34	88	50	4
GATA3	238	137	67	18	0	12	4	0
MAP3K1	280	173	50	17	10	19	8	3
KMT2C	268	115	57	42	17	12	21	2
PTEN	87	29	22	8	13	3	10	2
CBFB	95	58	18	2	1	9	6	1
CDH1	178	87	48	13	4	18	8	0
AKT1	75	36	17	9	2	4	4	2
NF1	75	19	18	18	6	7	6	0
